dataset, workflow, dataset_size, overhead
animal, full, 1, 0.146831050079
animal, full, 10000, 0.144737425862
animal, full, 20000, 0.146611207302
animal, full, 40000, 0.108167460546
animal, full, 70000, 0.0935815147553
animal, full, 100000, 0.0789045825444
animal, full, 200000, 0.0501727517769
animal, full, 400000, 0.0328168510182
animal, full, 700000, 0.0183623626356
animal, full, 1000000, 0.0117303846916
housing, simple, 1, 0.459088211954
housing, simple, 10000, 0.255620146469
housing, simple, 20000, 0.177891561218
housing, simple, 40000, 0.107296980376
housing, simple, 70000, 0.072434190469
housing, simple, 100000, 0.051282202897
housing, simple, 200000, 0.0242548176815
housing, simple, 400000, 0.00846782106488
imdb, full, 1, 0.519262779998
imdb, full, 10000, 0.45101369325
imdb, full, 20000, 0.381176513558
imdb, full, 40000, 0.294188653201
imdb, full, 70000, 0.21657411262
imdb, full, 100000, 0.178770557668
imdb, full, 200000, 0.0880501648831
imdb, full, 400000, 0.039331010431
imdb, full, 700000, 0.0158199044394
housing, exploratory, 1, 0.527590422982
housing, exploratory, 10000, 0.350931849457
housing, exploratory, 20000, 0.236157941252
housing, exploratory, 40000, 0.137867446073
housing, exploratory, 70000, 0.0782083745131
animal, exploratory, 1, 0.611693032205
animal, exploratory, 10000, 0.621678891917
animal, exploratory, 20000, 0.61367986638
animal, exploratory, 40000, 0.568760900876
animal, exploratory, 70000, 0.535980078185
animal, exploratory, 100000, 0.446347920067
animal, exploratory, 200000, 0.348405554371
animal, exploratory, 400000, 0.261199707689
animal, exploratory, 700000, 0.171039961097
animal, exploratory, 1000000, 0.114778112255
imdb, exploratory, 1, 0.549141387477
imdb, exploratory, 10000, 0.536557774705
imdb, exploratory, 20000, 0.45130158202
imdb, exploratory, 40000, 0.355609078654
imdb, exploratory, 70000, 0.268284175918
imdb, exploratory, 100000, 0.200087046036
imdb, exploratory, 200000, 0.104905550792
imdb, exploratory, 400000, 0.0358490725375
imdb, simple, 1, 0.392621215065
imdb, simple, 10000, 0.34369284919
imdb, simple, 20000, 0.267470673951
imdb, simple, 40000, 0.201258507851
imdb, simple, 70000, 0.159888042339
imdb, simple, 100000, 0.12639244775
imdb, simple, 200000, 0.0750876534615
imdb, simple, 400000, 0.0396500302481
imdb, simple, 700000, 0.0214176394038
imdb, simple, 1000000, 0.0140270237542
housing, full, 1, 0.656315004154
housing, full, 10000, 0.469253720654
housing, full, 20000, 0.350000620013
housing, full, 40000, 0.229074302943
housing, full, 70000, 0.144137146548
housing, full, 100000, 0.0971774244284
animal, simple, 1, 0.211926201129
animal, simple, 10000, 0.216209794453
animal, simple, 20000, 0.208436700822
animal, simple, 40000, 0.16596120751
animal, simple, 70000, 0.154500058393
animal, simple, 100000, 0.120907161601
animal, simple, 200000, 0.0826275295607
animal, simple, 400000, 0.053884132061
animal, simple, 700000, 0.034711833318
animal, simple, 1000000, 0.0148394448827
